INDEX,ADC_DATA
284,-0.770508
285,0.0185547
286,0.830078
287,0.874023
288,0.0732422
289,-0.764648
290,-0.876953
291,-0.233398
292,0.666016
293,0.961914
294,0.321289
295,-0.598633
296,-0.933594
297,-0.448242
298,0.475586
299,0.984375
300,0.53418
301,-0.398438
302,-0.917969
303,-0.62793
304,0.226562
305,0.915039
306,0.732422
307,-0.166016
308,-0.873047
309,-0.78418
310,-0.0126953
311,0.807617
312,0.887695
313,0.0976562
314,-0.757812
315,-0.889648
316,-0.226562
317,0.676758
318,0.959961
319,0.305664
320,-0.599609
321,-0.924805
322,-0.445312
323,0.459961
324,0.973633
325,0.541992
326,-0.390625
327,-0.929688
328,-0.639648
329,0.235352
330,0.943359
331,0.735352
332,-0.172852
333,-0.869141
334,-0.772461
335,-0.00878906
336,0.80957
337,0.875
338,0.0888672
339,-0.754883
340,-0.888672
341,-0.250977
342,0.648438
343,0.96875
344,0.347656
345,-0.588867
346,-0.9375
347,-0.441406
348,0.469727
349,0.970703
350,0.541016
351,-0.393555
352,-0.925781
353,-0.632812
354,0.229492
355,0.925781
356,0.739258
357,-0.158203
358,-0.864258
359,-0.786133
360,-0.0107422
361,0.833008
362,0.889648
363,0.0751953
364,-0.755859
365,-0.87793
366,-0.242188
367,0.647461
368,0.952148
369,0.328125
370,-0.588867
371,-0.933594
372,-0.459961
373,0.4375
374,0.980469
375,0.573242
376,-0.382812
377,-0.933594
378,-0.62793
379,0.235352
380,0.927734
381,0.736328
382,-0.160156
383,-0.869141
384,-0.780273
385,-0.00683594
386,0.826172
387,0.879883
388,0.0791016
389,-0.760742
390,-0.880859
391,-0.236328
392,0.672852
393,0.97168
394,0.325195
395,-0.588867
396,-0.926758
397,-0.458984
398,0.447266
399,0.963867
400,0.546875
401,-0.378906
402,-0.925781
403,-0.648438
404,0.208008
405,0.915039
406,0.763672
407,-0.136719
408,-0.875
409,-0.786133
410,0.00292969
411,0.826172
412,0.882812
413,0.0810547
414,-0.755859
415,-0.885742
416,-0.240234
417,0.65332
418,0.963867
419,0.335938
420,-0.583984
421,-0.93457
422,-0.456055
423,0.460938
424,0.983398
425,0.550781
426,-0.382812
427,-0.922852
428,-0.641602
429,0.211914
430,0.916016
431,0.743164
432,-0.145508
433,-0.870117
434,-0.791016
435,-0.0205078
436,0.802734
437,0.895508
438,0.120117
439,-0.75
440,-0.894531
441,-0.241211
442,0.663086
443,0.959961
444,0.330078
445,-0.585938
446,-0.925781
447,-0.458008
448,0.445312
449,0.975586
450,0.55957
451,-0.380859
452,-0.930664
453,-0.648438
454,0.219727
455,0.928711
456,0.745117
457,-0.154297
458,-0.859375
459,-0.78418
460,-0.0244141
461,0.807617
462,0.887695
463,0.0976562
464,-0.749023
465,-0.892578
466,-0.254883
467,0.638672
468,0.972656
469,0.359375
470,-0.582031
471,-0.941406
472,-0.454102
473,0.456055
474,0.972656
475,0.554688
476,-0.380859
477,-0.926758
478,-0.646484
479,0.210938
480,0.920898
481,0.751953
482,-0.141602
483,-0.868164
484,-0.793945
485,-0.0175781
486,0.829102
487,0.893555
488,0.0820312
489,-0.755859
490,-0.875
491,-0.246094
492,0.646484
493,0.955078
494,0.339844
495,-0.575195
