INDEX,ADC_DATA
290,0.0373463
291,0.269543
292,0.485352
293,0.685669
294,0.840821
295,0.940552
296,0.978516
297,0.942508
298,0.849892
299,0.707156
300,0.522461
301,0.290106
302,0.0469059
303,-0.192178
304,-0.414062
305,-0.611126
306,-0.768196
307,-0.877408
308,-0.933594
309,-0.930547
310,-0.874581
311,-0.769048
312,-0.619141
313,-0.423619
314,-0.204842
315,0.0255232
316,0.255859
317,0.490852
318,0.692512
319,0.847512
320,0.946289
321,0.978192
322,0.949097
323,0.861294
324,0.719727
325,0.51462
326,0.284523
327,0.044329
328,-0.192383
329,-0.419709
330,-0.616348
331,-0.771943
332,-0.878906
333,-0.928548
334,-0.925125
335,-0.869802
336,-0.765625
337,-0.613122
338,-0.426285
339,-0.214318
340,0.0126953
341,0.26102
342,0.490768
343,0.687258
344,0.838867
345,0.939166
346,0.979172
347,0.956195
348,0.871094
349,0.710601
350,0.511452
351,0.287169
352,0.0507812
353,-0.194938
354,-0.422043
355,-0.617866
356,-0.772461
357,-0.875721
358,-0.927849
359,-0.927402
360,-0.875
361,-0.769905
362,-0.622437
363,-0.439797
364,-0.230469
365,0.00948278
366,0.246697
367,0.467277
368,0.65918
369,0.821122
370,0.930245
371,0.979035
372,0.963867
373,0.872786
374,0.729835
375,0.544447
376,0.327148
377,0.0729204
378,-0.178421
379,-0.411165
380,-0.612305
381,-0.771163
382,-0.880776
383,-0.936309
384,-0.935547
385,-0.874107
386,-0.762817
387,-0.607872
388,-0.416992
389,-0.186841
390,0.0513154
391,0.28374
392,0.498047
393,0.693347
394,0.84343
395,0.9388
396,0.973633
397,0.937462
398,0.845337
399,0.703392
400,0.519531
401,0.28709
402,0.0441207
403,-0.194295
404,-0.415039
405,-0.609631
406,-0.764534
407,-0.872219
408,-0.927734
409,-0.925746
410,-0.871262
411,-0.767391
412,-0.619141
413,-0.424509
414,-0.206817
415,0.0222076
416,0.250977
417,0.482909
418,0.682472
419,0.83679
420,0.936523
421,0.972679
422,0.94818
423,0.864662
424,0.726562
425,0.523406
426,0.294113
427,0.0535728
428,-0.18457
429,-0.414723
430,-0.614639
431,-0.773625
432,-0.883789
433,-0.936766
434,-0.935592
435,-0.881148
436,-0.776367
437,-0.620494
438,-0.429916
439,-0.214381
440,0.015625
441,0.265482
442,0.496178
443,0.693109
444,0.844727
445,0.944907
446,0.984352
447,0.960409
448,0.874023
449,0.711076
